2024-06-08T00:00:00.0/2024-06-09T00:00:00.0;11538,9072;8351,9219;6365,439;1986,483;8913,6104;1987,2264;176,7842;1810,4421;675,4796;0,976;;;;;;;;;
2024-06-09T00:00:00.0/2024-06-10T00:00:00.0;11547,7754;8194,3066;5848,4644;2345,8423;8293,6377;3564,0112;336,277;3227,7341;595,6238;0,976;;;;;;;;;
2024-06-10T00:00:00.0/2024-06-11T00:00:00.0;11555,7959;8360,8496;6203,8999;2156,9502;8700,9971;2785,468;555,5712;2229,897;1213,4893;0,9757;;;;;;;;;
2024-06-11T00:00:00.0/2024-06-12T00:00:00.0;11562,8975;8815,7998;7725,9175;1089,8824;11327,1719;8681,5264;7364,0879;1317,4384;10861,1396;0,9757;;;;;;;;;
2024-06-12T00:00:00.0/2024-06-13T00:00:00.0;11569,1514;9030,2451;8078,6479;951,597;11965,918;9030,2451;8078,6479;951,597;11965,918;0,9753;;;;;;;;;
2024-06-13T00:00:00.0/2024-06-14T00:00:00.0;11574,4912;9057,7607;8088,9404;968,8201;12035,6992;9057,7607;8088,9404;968,8201;12035,6992;0,9753;;;;;;;;;
2024-06-14T00:00:00.0/2024-06-15T00:00:00.0;11578,9746;8541,5596;7165,0054;1376,5536;10376,6689;8099,749;6014,3604;2085,3887;8649,1953;0,975;;;;;;;;;
2024-06-15T00:00:00.0/2024-06-16T00:00:00.0;11582,5576;8908,71;7631,5894;1277,1206;11071,2627;8908,71;7631,5894;1277,1206;11071,2627;0,975;;;;;;;;;
2024-06-16T00:00:00.0/2024-06-17T00:00:00.0;11585,252;8863,3906;7725,0142;1138,3761;11303,3164;8270,1152;6567,8721;1702,2427;9422,0264;0,975;;;;;;;;;
2024-06-17T00:00:00.0/2024-06-18T00:00:00.0;11587,0977;8605,7051;7198,271;1407,4343;10375,749;5748,6953;2620,8167;3127,8784;4316,9585;0,975;;;;;;;;;
2024-06-18T00:00:00.0/2024-06-19T00:00:00.0;11588,04;8767,5801;7321,3286;1446,252;10438,8447;7975,7026;5983,6782;1992,0248;8176,8647;0,9802;;;;;;;;;
2024-06-19T00:00:00.0/2024-06-20T00:00:00.0;11588,0986;8745,2061;7407,9927;1337,214;10749,3789;7117,4971;4884,6987;2232,7986;7578,7178;0,9802;;;;;;;;;
2024-06-20T00:00:00.0/2024-06-21T00:00:00.0;11587,2432;8786,7285;7363,416;1423,3127;10724,5889;4869,0371;2030,7684;2838,2686;2974,3186;0,9806;;;;;;;;;
2024-06-21T00:00:00.0/2024-06-22T00:00:00.0;11585,5889;8839,2354;7681,5288;1157,7068;11316,9512;8839,2354;7681,5288;1157,7068;11316,9512;0,9799;;;;;;;;;
2024-06-22T00:00:00.0/2024-06-23T00:00:00.0;11583,0312;8882,1426;7940,543;941,5991;11714,0068;8882,1426;7940,543;941,5991;11714,0068;0,9799;;;;;;;;;
2024-06-23T00:00:00.0/2024-06-24T00:00:00.0;11579,5957;8564,9375;7130,459;1434,4783;10293,1289;8368,2119;6576,5732;1791,6388;9592,7969;0,9799;;;;;;;;;
2024-06-24T00:00:00.0/2024-06-25T00:00:00.0;11575,251;8557,125;7051,8179;1505,3077;10234,9443;8557,125;7051,8179;1505,3077;10234,9443;0,9802;;;;;;;;;
2024-06-25T00:00:00.0/2024-06-26T00:00:00.0;11570,0801;8749,5449;7493,4487;1256,0967;10864,5293;8268,666;6881,5615;1387,1047;9413,6484;0,9802;;;;;;;;;
2024-06-26T00:00:00.0/2024-06-27T00:00:00.0;11564,0342;8665,2158;7275,0312;1390,1849;10622,4092;5603,377;3286,9041;2316,4729;4773,3013;0,975;;;;;;;;;
2024-06-27T00:00:00.0/2024-06-28T00:00:00.0;11557,083;8243,4258;5958,6855;2284,7407;8380,001;5901,8057;3409,917;2491,8884;4803,5142;0,9597;;;;;;;;;
2024-06-28T00:00:00.0/2024-06-29T00:00:00.0;11549,3115;8194,2285;5911,9575;2282,2712;8348,1494;1951,9601;102,6683;1849,2917;240,4995;0,9753;;;;;;;;;
2024-06-29T00:00:00.0/2024-06-30T00:00:00.0;11540,666;8603,3213;6845,125;1758,1963;9878,8018;3429,5554;727,3599;2702,1953;1454,3073;0,9753;;;;;;;;;
2024-06-30T00:00:00.0/2024-07-01T00:00:00.0;11531,1338;8362,4355;6273,6812;2088,7539;9037,4727;6226,7798;2786,5364;3440,2434;4549,8408;0,9757;;;;;;;;;
;;;;;;6756,416557;;;;;;;;;;;;;
